caption,author,executor,status,prior,taskType,description,deadline,isFavor,creationDate,updateDate
Уборка территории,1,3,2,3,1,Необходимо убрать опавшие листья на территории эстакады,2020-11-29 14:25:00,0,2020-11-29 17:42:44,2020-11-29 14:35:23
Провести замену,1,2,1,1,3,Провести замену фланцев на станке в цехе №5,2020-11-16 16:00:00,1,2020-11-13 14:47:58,2020-11-16 12:35:23
Проверка электрощитовой,1,4,2,2,1,Провести плановую проверку в электрощитовой цеха 4,2020-11-10 13:00:00,0,2020-11-09 11:23:40,2020-11-10 10:57:40
Ремонт оборудования,1,5,1,1,3,Ремонт привода линии конвейера в цехе №4,2020-11-12 15:30:00,1,2020-11-09 11:44:20,2020-11-12 12:48:41
Проверка опечатывающих устройств,1,3,2,2,1,Провести осмотр опечатывающих устройств на территории цеха №3,2020-11-15 12:00:00,0,2020-11-10 17:42:44,2020-11-15 10:30:24
Визуальный осмотр,1,5,3,2,2,Провести осмотр линии опрессовки в цехе №2,2020-11-25 11:00:00,0,2020-11-22 10:01:44,2020-11-25 10:30:24
Покраска бордюров,1,3,1,2,1,Покраска бордюра в зоне выгрузки,2020-11-12 16:00:00,0,2020-11-12 11:05:00,2020-11-12 15:55:32
Дополнительный контроль,1,5,2,2,3,Провести дополнительный визуальный контроль упаковки готовой продукции,2020-11-11 17:00:00,0,2020-11-10 17:45:40,2020-11-11 14:35:24
Прокладка новой кабельной трассы,1,2,1,2,3,Протянуть оптическое волокно между цехами №2 и №3,2020-11-17 12:00:00,0,2020-11-16 10:12:20,2020-11-17 10:24:30
Ожидание комиссии,1,3,1,3,1,Подготовить помещение для проведения совещания,2020-11-14 15:20:00,0,2020-11-14 10:20:50,2020-11-14 13:18:02
Изменение режима работы,1,6,2,2,3,Перенастроить аппаратуру в цехе №3 для заливки нового реагента,2020-11-22 16:45:00,0,2020-11-21 10:45:08,2020-11-22 14:47:00
Ремонт оборудования,1,6,2,2,3,Ремонт пресса в цехе №2,2020-11-30 17:00:00,0,2020-11-29 10:03:07,2020-11-30 16:50:00
